Question,Correct Answer,Option1,Option2,Option3,Option4
"Who is credited with inventing the light bulb?", "Thomas Edison", "Nikola Tesla", "Thomas Edison", "Benjamin Franklin", "James Watt"
"What is the hardest known natural material in the world?", "Diamond", "Gold", "Platinum", "Diamond", "Silver"
"Which country is the Colosseum located in?", "Italy", "Greece", "Italy", "Spain", "France"
"Who wrote The Hobbit and The Lord of the Rings?", "J.R.R. Tolkien", "J.K. Rowling", "George R.R. Martin", "J.R.R. Tolkien", "C.S. Lewis"
"What is the formula for water?", "H2O", "CO2", "H2O", "NaCl", "O2"
"Which organ is responsible for filtering blood?", "Kidney", "Liver", "Heart", "Kidney", "Lung"
"Which composer wrote the Moonlight Sonata?", "Ludwig van Beethoven", "Wolfgang Amadeus Mozart", "Johann Sebastian Bach", "Ludwig van Beethoven", "Franz Schubert"
"Which element is known for protecting bones and teeth?", "Calcium", "Iron", "Calcium", "Magnesium", "Potassium"
"Which city is famous for its Carnival celebrated every year before Lent?", "Rio de Janeiro", "New Orleans", "Venice", "Rio de Janeiro", "Mexico City"
"What is the smallest bone in the human body?", "Stapes", "Femur", "Stapes", "Tibia", "Radius"
"Which disease did the vaccine developed by Jonas Salk prevent?", "Polio", "Measles", "Malaria", "Polio", "Tuberculosis"
"Which country has the largest Muslim population?", "Indonesia", "Saudi Arabia", "Turkey", "Indonesia", "Pakistan"
"Who is the main character in Shakespeares play Macbeth?", "Macbeth", "Hamlet", "Othello", "Macbeth", "King Lear"
"What metal is a primary component of bronze?", "Copper", "Iron", "Copper", "Zinc", "Nickel"
"Which hormone regulates blood sugar levels?", "Insulin", "Adrenaline", "Insulin", "Cortisol", "Estrogen"
"What is the capital of Canada?", "Ottawa", "Toronto", "Vancouver", "Ottawa", "Montreal"
"Who is the Greek god of war?", "Ares", "Zeus", "Ares", "Apollo", "Hermes"
"What is the primary ingredient in sushi?", "Rice", "Fish", "Rice", "Seaweed", "Soy Sauce"
"Which composer wrote the Brandenburg Concertos?", "Johann Sebastian Bach", "Wolfgang Amadeus Mozart", "Ludwig van Beethoven", "Johann Sebastian Bach", "Antonio Vivaldi"
"What is the hardest known material in the universe?", "Nuclear pasta", "Diamond", "Graphene", "Nuclear pasta", "Buckypaper"
"Who wrote Brave New World?", "Aldous Huxley", "George Orwell", "Aldous Huxley", "Ray Bradbury", "H.G. Wells"
"Which river flows through Paris?", "Seine", "Thames", "Seine", "Danube", "Rhine"
"What is the unit of currency in Japan?", "Yen", "Won", "Yuan", "Yen", "Ringgit"
"Who discovered the circulation of blood?", "William Harvey", "Isaac Newton", "Charles Darwin", "William Harvey", "Galileo Galilei"
"What is the largest moon of Saturn?", "Titan", "Europa", "Ganymede", "Titan", "Callisto"
"Which book is known as the Book of Books?", "Bible", "Koran", "Torah", "Bible", "Vedas"
"What is the most widely spoken language in Brazil?", "Portuguese", "Spanish", "Portuguese", "English", "French"
"Which element has the atomic number 79?", "Gold", "Silver", "Iron", "Gold", "Platinum"
"Who painted Starry Night?", "Vincent van Gogh", "Pablo Picasso", "Claude Monet", "Vincent van Gogh", "Salvador Dalí"
"What is the most abundant metal in the Earths crust?", "Aluminum", "Iron", "Aluminum", "Silver", "Gold"
"Which novel did Fyodor Dostoevsky write?", "Crime and Punishment", "War and Peace", "Crime and Punishment", "Anna Karenina", "The Brothers Karamazov"
"Who is the Roman equivalent of the Greek goddess Athena?", "Minerva", "Hera", "Artemis", "Minerva", "Venus"
"What is the standard taste of the water?", "No inherent taste", "Sweet", "Salty", "No inherent taste", "Bitter"
"Which organ is responsible for detoxification and protein synthesis?", "Liver", "Kidney", "Heart", "Liver", "Pancreas"
"What is the name of the longest barrier reef in the world?", "Great Barrier Reef", "Belize Barrier Reef", "Great Barrier Reef", "Red Sea Coral Reef", "New Caledonia Barrier Reef"
"Which country is famously known as the Land of Fire and Ice?", "Iceland", "New Zealand", "Iceland", "Norway", "Canada"
"Who directed the movie Titanic?", "James Cameron", "Steven Spielberg", "James Cameron", "Martin Scorsese", "Ridley Scott"
"What is the symbol for the element silver?", "Ag", "Au", "Si", "Ag", "Fe"
"Which bird is known for the elaborate dances it performs during courtship?", "Peacock", "Swan", "Peacock", "Eagle", "Flamingo"
"Which acid is also known by the name muriatic acid?", "Hydrochloric acid", "Sulfuric acid", "Hydrochloric acid", "Nitric acid", "Acetic acid"
"What year did Albert Einstein publish his general theory of relativity?", "1915", "1905", "1923", "1915", "1917"
"Which film won the Academy Award for Best Picture in 1994?", "Forrest Gump", "Pulp Fiction", "The Shawshank Redemption", "Forrest Gump", "Jurassic Park"
"Which historical figure famously said, I think, therefore I am?", "René Descartes", "Socrates", "Plato", "René Descartes", "Aristotle"

